File Name,Step #,Person-in-charge,Step,Next Step / Reference
1.1 Business Development - Understanding Referral Needs,1.1.1,[N/A],STAGE 1.1.1: ASSESSING APPLICABLE AGENC(IES) FOR PROSPECTIVE CASE,1.1.1.1
,1.1.1.1,Client / Contractors,Contact Dyson with a business enquiry.,1.1.1.2
,1.1.1.2,Sales Executive,"Request information (Type of intended business, Address, Proposed floorplan, Copies of any approval of use).",1.1.1.3
,1.1.1.3,Client / Contractors,Gives information on Proposed Business.,1.1.1.4
,1.1.1.4,Sales Executive,Is there a desired location in mind?,"1.1.1.5, 1.1.1.6"
,1.1.1.5,Sales Executive,"If no location, refer client to RE Agent.",
,1.1.1.6,Sales Executive,"If yes location, Does Proposed Business involve NEA's approval?","1.1.1.7, 1.1.1.8"
,1.1.1.7,Sales Executive,"If no NEA approval needed, refer client to RE Agent.",
,1.1.1.8,Sales Executive,"If yes NEA approval needed, Will NEA approval be easily obtained?","1.1.1.9, 1.1.1.10"
,1.1.1.9,Sales Executive,"If NEA approval not easily obtained, refer client to RE Agent.",
,1.1.1.10,Sales Executive,"If NEA approval easily obtained, Did client send AoU?","1.1.1.11, 1.1.2"
,1.1.1.11,Sales Executive,"If yes client sent AoU, proceed to Assess if Quotation is Needed.",1.1.3
,1.1.2,[N/A],STAGE 1.1.2: ASSESS IF CHANGE IN APPROVAL OF USE WITH HDB/URA/JTC IS REQUIRED,1.1.2.1
,1.1.2.1,Sales Executive,Check address to determine relevant agenc(ies).,1.1.2.2
,1.1.2.2,Sales Executive,Is the unit under the purview of HDB/URA/JTC?,"1.1.2.3, 1.1.2.7"
,1.1.2.3,Sales Executive,"If HDB / JTC, Check with client if an enquiry has been made with HDB / JTC.","1.1.2.4, 1.1.2.6"
,1.1.2.4,Sales Executive,"If yes enquiry made, Request client to send over HDB/JTC's list of requirements for use of premises.",1.1.2.5
,1.1.2.5,Client,Sends over HDB/JTC's list of requirements for use of premises.,1.1.2.8
,1.1.2.6,Sales Executive,"If no enquiry made, Inform client to email HDB/JTC and send over list of requirements for use.",1.1.2.5
,1.1.2.7,Sales Executive,"If URA, Search URA Portal to determine existing Approval of Use.",1.1.2.8
,1.1.2.8,Sales Executive,Does the intended business fall under the existing Approval of Use?,"1.1.2.9, 1.1.2.10"
,1.1.2.9,Sales Executive,"If yes it falls under existing Approval of Use, proceed to Assess if Quotation is Needed.",1.1.3
,1.1.2.10,Sales Executive,"If no it does not fall under existing Approval of Use, Conduct checks on URA Portal / Email officer handling specific area of unit to verify if Change of Use to client's desired use is allowed.",1.1.2.11
,1.1.2.11,Sales Executive,Is Change of Use to desired use allowed?,"1.1.2.12, 1.1.2.13"
,1.1.2.12,Sales Executive,"If no Change of Use is not allowed, Inform client of potential issues regarding Approval of Use for desired business (DO NOT TAKE ON THE CASE).",
,1.1.2.13,Sales Executive,"If yes Change of Use is allowed, proceed to Assess if Quotation is Needed.",1.1.3
,1.1.3,[N/A],STAGE 1.1.3: ASSESS IF QUOTATION IS NEEDED,1.1.3.1
,1.1.3.1,Sales Executive,Check if client requires Dyson to quote for filing Change of Use application.,1.2
1.2 Business Development - Quotation,1.2.1,[N/A],STAGE 1.2.1: PREPARE DRAFT QUOTATION,1.2.1.1
,1.2.1.1,Client / Contractors,Informs Dyson on Proposal Needs.,1.2.1.2
,1.2.1.2,Sales Executive,Sends Admin instructions on quotation T&Cs.,1.2.1.3
,1.2.1.3,Admin,Prepare draft Quotation according to templates in Xero.,1.2.2
,1.2.2,[N/A],STAGE 1.2.2: ENGROSS QUOTATION,1.2.2.1
,1.2.2.1,Admin,Engross Quotation.,1.2.2.2
,1.2.2.2,Admin,Send to SE for Review.,1.2.2.3
,1.2.2.3,Sales Executive,Review Engrossed Quotation.,1.2.2.4
,1.2.2.4,Sales Executive,Is Engrossed Quotation complete?,"1.2.2.5, 1.2.2.6"
,1.2.2.5,Sales Executive,"If no, Inform Admin of amendments to engrossed quotation.",1.2.2.10
,1.2.2.6,Sales Executive,"If yes, Send Engrossed Quotation to MD for Approval and/or Signing.",1.2.2.7
,1.2.2.7,Managing Director,Is Engrossed Quotation complete?,"1.2.2.8, 1.2.2.9"
,1.2.2.8,Managing Director,"If no, MD gives comments to SE.",1.2.2.10
,1.2.2.9,Managing Director,"If yes, Sign Engrossed Quotation.",1.2.3
,1.2.2.10,Admin,Revise Quotation.,1.2.2.11
,1.2.2.11,Admin,Send to SE for Review.,1.2.2.3
,1.2.3,[N/A],STAGE 1.2.3: SEND QUOTATION FOR ACCEPTANCE,1.2.3.1
,1.2.3.1,Admin,WhatsApp Client's Finance Personnel only the Signed Quotation for acknowledgement.,1.2.3.2
,1.2.3.2,Client,Did Client acknowledge receipt?,"1.2.3.3, 1.2.3.4"
,1.2.3.3,Admin,"If no, Follow up once with client (on Same Day).",1.2.3.5
,1.2.3.4,Client,"If yes, Accept Quotation.",1.2.4
,1.2.3.5,Admin,Did Client acknowledge receipt?,"1.2.3.6, 1.2.3.4"
,1.2.3.6,Admin,"If no, END.",
,1.2.4,[N/A],STAGE 1.2.4: GENERATE INVOICE (FOR DEPOSIT),1.2.4.1
,1.2.4.1,Admin,Create invoice #1 (50%) for deposit.,1.2.4.2
,1.2.4.2,Admin,Send Invoice to client.,1.2.4.3
,1.2.4.3,Client,Receive Invoice #1.,1.2.4.4
,1.2.4.4,Client,Did Client pay?,"1.2.4.5, 1.2.4.6"
,1.2.4.5,Admin,"If no, Follow up with client on payment (within 1 week).",1.2.4.7
,1.2.4.6,Sales Executive,"If yes, Run through Checklist of Document for Project Kickoff and prepare necessary documents for client's signing.","2.1, 2.2, 2.3, 2.4"
,1.2.4.7,Admin,Did Client pay?,"1.2.4.8, 1.2.4.6"
,1.2.4.8,Admin,"If no, END.",
2.1 Project Kickoff - SFA,2.1.1,[N/A],STAGE 2.1.1: CONNECT STAKEHOLDERS,2.1.1.1
,2.1.1.1,Sales Executive,Create Group Chat & add all stakeholders.,2.1.1.2
,2.1.1.2,Sales Executive,"Sends list of required docs in Client Group Chat (Requested Information: ACRA, NRIC, Contact Number, Email. Other: Tenancy agreement, Layout plan, Food & drinks menu, Pest control contract, Food handlers' certificate(s) and NRIC(s), Food Hygiene Officer's certificate and NRIC (if unit exceeds 16sqm), Stamp duty).",2.1.1.3
,2.1.1.3,Admin,Request Client to add MD on Client's Corp Pass.,2.1.1.4
,2.1.1.4,Client,Does Client know how to add?,"2.1.1.5, 2.1.1.6"
,2.1.1.5,Client,"If yes, Add MD on Corp Pass.",2.1.2
,2.1.1.6,Admin,"If no, Help Client to add MD on Client's Corp Pass.",2.1.2
,2.1.2,[N/A],STAGE 2.1.2: OBTAIN CORP PASS ACCESS,2.1.2.1
,2.1.2.1,Client,Has Client given the necessary documents?,"2.1.2.2, 2.1.2.3"
,2.1.2.2,Client,"If yes, Sends requested Docs & Information.",2.1.2.4
,2.1.2.3,Sales Executive,"If no, Follow up with Client on list of documents.",2.1.2.1
,2.1.2.4,Admin,Check if client has paid.,"2.1.3, 2.1.4"
